"","Despacho","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","cluster"
"3919538",0,0.22,0.59,0.1,0.08,0.03,5
"3919630",0,0.01,0,0.22,0.77,0,1
"3930230",0,0,0,0.16,0.84,0,1
"3930367",0,0,0,0.44,0.56,0,1
"3931918",0,0,1,0,0,0.13,5
"3934208",0,0,0,1,0,0.11,4
"3934695",0,0,0,1,0,0,2
"3936097",0,0,0,1,0,0.1,4
"3939297",0,1,0,0,0,0,3
"3942543",0,1,0,0,0,0.03,3
"3944623",0,0,0,0.74,0.26,0.12,4
"3946787",0,0,0.74,0.26,0,0.12,5
"3948760",0,0,0,1,0,0.07,4
"3950477",0,0,0,1,0,0,2
"3950768",0,0,0,1,0,0.1,4
"3951362",0,0,0,1,0,0.15,4
"3951930",0,0,0,0,1,0,1
"3955304",0,0,0,1,0,0,2
"3959593",0,0,0.21,0.79,0,0.05,4
"3961865",0,0,0.69,0,0.31,0.07,5
"3966153",0,0,0,1,0,0.09,4
"3969343",0,0,0.94,0,0.06,0,5
"3969952",0,1,0,0,0,0,3
"3971063",0,0.06,0.88,0.06,0,0.12,5
"3975270",0,0,1,0,0,0.07,5
"3984485",0,0.14,0,0.86,0,0.13,4
"3988074",0,0,0,1,0,0.15,4
"3988774",0,0,0,1,0,0,2
"3990254",0,0,1,0,0,0.12,5
"3991260",0,0,0,1,0,0.08,4
"3992048",0,0,0,0,1,0,1
"3992189",0,0,1,0,0,0,5
"3993540",0,0,0,0,1,0,1
"3996443",0,0,0,0,1,0,1
"3996567",0,0,1,0,0,0.12,5
"3997674",0,1,0,0,0,0,3
"3998238",0,0.24,0,0.76,0,0.06,4
"3998545",0,0,1,0,0,0,5
"4000604",0,0.32,0.26,0.4,0.02,0.05,5
"4001220",0,1,0,0,0,0,3
"4001265",0,0,0,0,1,0,1
"4001751",0,0.51,0.49,0,0,0.04,5
"4002210",0,0,1,0,0,0.06,5
"4004024",0,0,0,1,0,0,2
"4005743",0,0,0,1,0,0.15,4
"4007131",0,0.16,0,0.84,0,0.03,2
"4007541",0,0.34,0,0.66,0,0.04,2
"4014559",0,0,0.51,0.49,0,0,5
"4014822",0,0.75,0,0.25,0,0,3
"4020175",0,0.04,0.67,0.24,0.04,0.08,5
"4021615",0,0,0,1,0,0,2
"4025674",0,0.02,0,0.98,0,0.01,2
"4026117",0,0,1,0,0,0,5
"4026861",0,0,0.83,0,0.17,0.05,5
"4027799",0,0,0.54,0.46,0,0.08,5
"4029072",0,0,0,1,0,0.1,4
"4029339",0,0,0.89,0.11,0,0.03,5
"4029792",0,0,0,1,0,0.11,4
"4030640",0,0,0,1,0,0,2
"4032059",0,0,0.37,0.63,0,0.11,4
"4035409",0,0,0,1,0,0.17,4
"4035477",0,0,1,0,0,0,5
"4036296",0,0,0,1,0,0,2
"4036474",0,0,0.33,0.67,0,0.1,4
"4044568",0,0,0,1,0,0.14,4
"4046819",0,0,0,1,0,0.1,4
"4052113",0,0,0.9,0.1,0,0.07,5
"4052233",0,0,0,1,0,0.05,2
"4054721",0,0,0,1,0,0,2
"4055386",0,0,0,1,0,0.02,2
"4055478",0,0,1,0,0,0.09,5
"4055533",0,0,0,1,0,0,2
"4056721",0,1,0,0,0,0,3
"4057520",0,0,0,0,1,0,1
"4058990",0,0,0,1,0,0.04,2
"4059648",0,0,0,1,0,0,2
"4061907",0,0,1,0,0,0.04,5
"4066607",0,0,0,1,0,0,2
"4066982",0,1,0,0,0,0,3
"4067328",0,0,0,0,1,0,1
"4070979",0,0.05,0.73,0.22,0,0.06,5
"4072127",0,0,0,1,0,0,2
"4073940",0,0,0,1,0,0.06,4
"4078377",0,0,0,1,0,0,2
"4079385",0,0.15,0.44,0.41,0,0.05,5
"4084264",0,1,0,0,0,0,3
"4085513",0,0.1,0.43,0.46,0,0.07,5
"4094704",0,0,0,1,0,0,2
"4095007",0,0,0.9,0,0.1,0.09,5
"4095582",0,0,0,0,1,0,1
"4102901",0,0,0,1,0,0.1,4
"4104136",0,1,0,0,0,0,3
"4106441",0,0,0.82,0.13,0.05,0.02,5
"4108182",0,0,0,0.56,0.44,0.12,4
"4109531",0,0,0,0,1,0,1
"4111496",0,0,0,0,1,0,1
"4111729",0,0,1,0,0,0,5
"4112937",0,0,0,1,0,0,2
"4113210",0,0,0,1,0,0.1,4
"4114298",0,0,0,1,0,0,2
"4114513",0,0,0.96,0.04,0,0.1,5
"4114724",0,1,0,0,0,0,3
"4116008",0,0,0,1,0,0.1,4
"4116396",0,0,0,1,0,0.15,4
"4117527",0,0,0.95,0.05,0,0.04,5
"4118689",0,0,0,0,1,0,1
"4118830",0,0,0,1,0,0,2
"4118887",0,0,0.74,0.26,0,0.15,5
"4119560",0,0.23,0.4,0.35,0.02,0.06,5
"4124780",0,0,0.95,0,0.05,0.08,5
"4125777",0,0.99,0,0.01,0,0.03,3
"4126584",0,0,0.04,0.95,0,0.18,4
"4126863",0,0.04,0.35,0.6,0.02,0.06,4
"4127779",0,0,0,1,0,0,2
"4128647",0,0,0.94,0,0.06,0.04,5
"4129149",0,0,0.35,0.62,0.02,0.05,4
"4132070",0,0.34,0,0.66,0,0.07,4
"4132189",0,0,0,1,0,0,2
"4132977",0,0.38,0,0.62,0,0,2
"4133497",0,0,0,1,0,0.1,4
"4133525",0,0.24,0,0.76,0,0,2
"4134828",0,0,0,1,0,0,2
"4136936",0,0,0,1,0,0,2
"4140968",0,0,1,0,0,0.04,5
"4142430",0,0,1,0,0,0,5
"4142438",0,0,1,0,0,0.06,5
"4146589",0,0,0,0,1,0,1
"4146695",0,0,0,0,1,0,1
"4148353",0,0,0,1,0,0.1,4
"4148496",0,0,0,1,0,0.13,4
"4148914",0,0,0,1,0,0.07,4
"4149686",0,0.21,0,0.79,0,0.09,4
"4150874",0,0,0,1,0,0.04,2
"4155121",0,0.04,0.74,0.08,0.14,0.06,5
"4155419",0,0.18,0.79,0.03,0,0,5
"4155625",0,0,0.63,0.24,0.13,0.09,5
"4156655",0,0.27,0,0.73,0,0.08,4
"4157419",0,0.01,0.54,0.21,0.23,0.04,5
"4158506",0,0,1,0,0,0.1,5
"4161362",0,0,1,0,0,0.07,5
"4165194",0,0,0,0,1,0,1
"4168137",0,0,1,0,0,0,5
"4169053",0,1,0,0,0,0.08,3
"4169995",0,0.05,0,0.95,0,0.03,2
"4170150",0,0.04,0,0.94,0.02,0.01,2
"4170935",0,0.29,0.33,0.37,0,0.03,5
"4171376",0,0,0.94,0.01,0.05,0.04,5
"4172021",0,0,0,1,0,0.1,4
"4172075",0,0,0,1,0,0,2
"4172407",0,0,0,1,0,0.12,4
"4175188",0,0,1,0,0,0,5
"4175252",0,0,0,1,0,0,2
"4176536",0,0,0,1,0,0.1,4
"4179169",0,1,0,0,0,0,3
"4179933",0,0,0,1,0,0,2
"4181538",0,0.3,0.41,0.29,0,0.02,5
"4183140",0,0,0,1,0,0,2
"4190956",0,0,1,0,0,0.06,5
"4193348",0,0.09,0.1,0.81,0,0.1,4
"4193487",0,0.01,0.76,0.23,0,0.07,5
"4194047",0,0,0,1,0,0,2
"4195047",0,0,0,0,1,0,1
"4200495",0,0,1,0,0,0.05,5
"4200638",0,0,1,0,0,0.04,5
