"","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","Frecuencia","$ Venta.y","Recencia","cluster"
"3919630",0.01,0,0.22,0.77,0,91,1661496,23,1
"3930230",0,0,0.16,0.84,0,2,25151,887,1
"3930367",0,0,0.44,0.56,0,4,54857,70,1
"3931918",0,1,0,0,0.13,1,101914,954,4
"3934208",0,0,1,0,0.11,4,76723,924,5
"3934695",0,0,1,0,0,3,26925,354,2
"3936097",0,0,1,0,0.1,10,165862,867,5
"3939297",1,0,0,0,0,1,2504,969,3
"3942543",1,0,0,0,0.03,1,67647,580,3
"3944623",0,0,0.74,0.26,0.12,5,173391,244,2
"3946787",0,0.74,0.26,0,0.12,11,836200,355,4
"3948760",0,0,1,0,0.07,2,48896,835,5
"3950477",0,0,1,0,0,1,32765,955,5
"3950768",0,0,1,0,0.1,4,332821,931,5
"3951362",0,0,1,0,0.15,2,37786,606,5
"3951930",0,0,0,1,0,1,25210,313,1
"3955304",0,0,1,0,0,1,1672,226,2
"3959593",0,0.21,0.79,0,0.05,6,447003,628,5
"3961865",0,0.69,0,0.31,0.07,31,627139,25,4
"3966153",0,0,1,0,0.09,14,186440,696,5
"3969343",0,0.94,0,0.06,0,3,101588,146,4
"3969952",1,0,0,0,0,2,69496,968,3
"3971063",0.06,0.88,0.06,0,0.12,24,2204179,292,4
"3975270",0,1,0,0,0.07,11,1166123,315,4
"3984485",0.14,0,0.86,0,0.13,13,256200,734,5
"3988074",0,0,1,0,0.15,3,26903,927,5
"3988774",0,0,1,0,0,1,1044,229,2
"3990254",0,1,0,0,0.12,1,260272,216,4
"3991260",0,0,1,0,0.08,4,145646,867,5
"3992048",0,0,0,1,0,1,15546,740,1
"3992189",0,1,0,0,0,1,865530,210,4
"3993540",0,0,0,1,0,1,9244,793,1
"3996443",0,0,0,1,0,1,8404,941,1
"3996567",0,1,0,0,0.12,1,603136,767,4
"3997674",1,0,0,0,0,1,43689,686,3
"3998238",0.24,0,0.76,0,0.06,46,3441817,25,2
"3998545",0,1,0,0,0,1,5630,585,4
"4000604",0.32,0.26,0.4,0.02,0.05,38,1695555,80,2
"4001220",1,0,0,0,0,1,7555,658,3
"4001265",0,0,0,1,0,4,31934,227,1
"4001751",0.51,0.49,0,0,0.04,23,2309237,33,3
"4002210",0,1,0,0,0.06,1,278020,468,4
"4004024",0,0,1,0,0,1,1798,710,2
"4005743",0,0,1,0,0.15,1,24050,691,5
"4007131",0.16,0,0.84,0,0.03,69,8667787,25,2
"4007541",0.34,0,0.66,0,0.04,29,874145,503,2
"4014559",0,0.51,0.49,0,0,6,428086,27,4
"4014822",0.75,0,0.25,0,0,3,47034,203,3
"4020175",0.04,0.67,0.24,0.04,0.08,105,7661288,34,4
"4021615",0,0,1,0,0,3,158665,916,5
"4025674",0.02,0,0.98,0,0.01,13,677462,300,2
"4026117",0,1,0,0,0,1,394092,938,4
"4026861",0,0.83,0,0.17,0.05,15,550550,404,4
"4027799",0,0.54,0.46,0,0.08,3,484740,97,4
"4029072",0,0,1,0,0.1,1,5340,852,5
"4029339",0,0.89,0.11,0,0.03,15,1369084,101,4
"4029792",0,0,1,0,0.11,10,213070,721,5
"4030640",0,0,1,0,0,5,101200,67,2
"4032059",0,0.37,0.63,0,0.11,26,801893,171,2
"4035409",0,0,1,0,0.17,1,14832,660,5
"4035477",0,1,0,0,0,2,296285,48,4
"4036296",0,0,1,0,0,2,29386,802,5
"4036474",0,0.33,0.67,0,0.1,6,539261,389,2
"4044568",0,0,1,0,0.14,1,9991,675,5
"4046819",0,0,1,0,0.1,1,17713,900,5
"4052113",0,0.9,0.1,0,0.07,44,15396284,56,4
"4052233",0,0,1,0,0.05,7,120436,300,2
"4054721",0,0,1,0,0,1,65235,831,5
"4055386",0,0,1,0,0.02,7,128550,356,2
"4055478",0,1,0,0,0.09,1,262828,733,4
"4055533",0,0,1,0,0,6,174738,619,2
"4056721",1,0,0,0,0,2,2840,822,3
"4057520",0,0,0,1,0,4,31679,385,1
"4058990",0,0,1,0,0.04,16,111184,458,2
"4059648",0,0,1,0,0,1,109160,917,5
"4061907",0,1,0,0,0.04,3,158102,264,4
"4066607",0,0,1,0,0,1,121840,506,2
"4066982",1,0,0,0,0,2,37135,689,3
"4067328",0,0,0,1,0,1,15546,794,1
"4070979",0.05,0.73,0.22,0,0.06,7,754335,798,4
"4072127",0,0,1,0,0,1,151228,951,5
"4073940",0,0,1,0,0.06,6,592628,125,2
"4078377",0,0,1,0,0,2,9126,789,5
"4079385",0.15,0.44,0.41,0,0.05,189,8290966,67,4
"4084264",1,0,0,0,0,1,24874,749,3
"4085513",0.1,0.43,0.46,0,0.07,9,779889,49,2
"4094704",0,0,1,0,0,1,84025,415,2
"4095007",0,0.9,0,0.1,0.09,3,97296,732,4
"4095582",0,0,0,1,0,6,52606,214,1
"4102901",0,0,1,0,0.1,1,12072,961,5
"4104136",1,0,0,0,0,1,50336,979,3
"4106441",0,0.82,0.13,0.05,0.02,11,952283,188,4
"4108182",0,0,0.56,0.44,0.12,8,248723,359,2
"4109531",0,0,0,1,0,2,24622,577,1
"4111496",0,0,0,1,0,1,8403,303,1
"4112937",0,0,1,0,0,1,27723,734,2
"4113210",0,0,1,0,0.1,6,33965,562,5
"4114298",0,0,1,0,0,1,231570,940,5
"4114513",0,0.96,0.04,0,0.1,2,318797,928,4
"4114724",1,0,0,0,0,1,62168,546,3
"4116008",0,0,1,0,0.1,109,4148598,32,2
"4116396",0,0,1,0,0.15,1,76850,602,5
"4117527",0,0.95,0.05,0,0.04,2,305522,634,4
"4118689",0,0,0,1,0,1,11765,815,1
"4118830",0,0,1,0,0,2,119302,132,2
"4118887",0,0.74,0.26,0,0.15,12,351040,629,4
"4119560",0.23,0.4,0.35,0.02,0.06,96,5214328,40,4
"4124780",0,0.95,0,0.05,0.08,4,413736,67,4
"4125777",0.99,0,0.01,0,0.03,4,102979,77,3
"4126584",0,0.04,0.95,0,0.18,233,6146350,34,2
"4126863",0.04,0.35,0.6,0.02,0.06,18,863824,609,5
"4127779",0,0,1,0,0,1,30899,616,2
"4128647",0,0.94,0,0.06,0.04,3,189403,73,4
"4129149",0,0.35,0.62,0.02,0.05,16,1033597,320,2
"4132070",0.34,0,0.66,0,0.07,4,37411,548,2
"4132189",0,0,1,0,0,1,92429,317,2
"4132977",0.38,0,0.62,0,0,11,235722,282,2
"4133497",0,0,1,0,0.1,1,14476,979,5
"4133525",0.24,0,0.76,0,0,5,49907,188,2
"4134828",0,0,1,0,0,1,7564,546,2
"4136936",0,0,1,0,0,1,29176,635,2
"4140968",0,1,0,0,0.04,1,431588,54,4
"4142430",0,1,0,0,0,1,252084,175,4
"4142438",0,1,0,0,0.06,4,560858,616,4
"4146589",0,0,0,1,0,2,11260,648,1
"4146695",0,0,0,1,0,3,41093,182,1
"4148353",0,0,1,0,0.1,3,15423,763,5
"4148496",0,0,1,0,0.13,6,126243,184,2
"4148914",0,0,1,0,0.07,1,64850,952,5
