"","Frecuencia","$ Margen","$ Venta","Recencia","cluster"
"4387542",1,113436,364924,902,4
"4388111",33,585955,1709597,132,2
"4389707",14,303214,982478,47,2
"4390114",1,5305,8894,776,4
"4390573",2,69520,420082,366,1
"4391168",2,15614,29748,270,1
"4391562",1,68936,193596,320,1
"4395668",2,28603,72092,544,3
"4395711",1,14537,14538,262,1
"4396160",3,14788,72278,828,4
"4398522",1,10083,10084,698,3
"4399076",1,11402,50336,973,4
"4399640",39,739758,3036299,152,2
"4399962",1,94194,296454,626,3
"4402496",2,10646,10874,816,4
"4403421",4,58551,102699,104,2
"4405720",3,110364,385406,55,2
"4405725",14,164677,487011,56,2
"4406537",4,28251,71099,866,4
"4409322",1,988,1588,710,3
"4410753",14,1670384,5687358,174,2
"4410948",1,6821,10149,933,4
"4412127",3,46057,89623,545,3
"4412707",46,1107368,4133402,627,3
"4413531",3,15960,31766,244,1
"4413819",1,13192,13193,706,3
"4414367",1,10380,18353,41,2
"4416971",5,60040,119647,415,1
"4419971",1,5378,5378,832,4
"4420722",2,20376,63833,670,3
"4420775",11,87988,191097,646,3
"4420868",1,7363,17822,928,4
"4422743",10,108753,263835,612,3
"4422830",4,16937,44233,682,3
"4423041",3,54588,95328,443,1
"4423357",1,286333,562442,623,3
"4425325",16,196637,462048,559,3
"4427520",3,22429,92429,259,1
"4428153",4,12533,39402,615,3
"4428630",3,28277,70636,977,4
"4431358",2,13232,23662,662,3
"4441888",3,21336,64655,693,3
"4443971",4,217555,431315,51,2
"4446355",4,51091,91383,308,1
"4448844",8,75119,75125,153,2
"4451142",17,873001,3293017,49,2
"4451767",3,23700,56564,245,1
"4452121",4,59929,95655,570,3
"4452653",39,1127370,4332658,96,2
"4454973",18,313651,519246,524,3
"4455587",2,83704,207665,76,2
"4456097",1,42494,75714,814,4
"4456801",1,26800,137648,965,4
"4456809",99,2562636,10017009,62,2
"4457613",4,84883,372655,188,2
"4457615",130,3964849,13430148,40,2
"4458306",1,16980,42352,993,4
"4458576",1,85894,290404,599,3
"4458707",7,78923,225666,300,1
"4459046",1,2521,2521,637,3
"4459628",1,2779,6247,951,4
"4464221",8,8600,20775,60,2
"4464638",4,29377,84857,60,2
"4469285",4,77726,192048,321,1
"4469682",3,39741,76690,990,4
"4469789",1,26106,73101,90,2
"4470773",3,150136,303262,353,1
"4471839",3,9250,38630,961,4
"4471947",2,45980,124892,644,3
"4471972",1,2307,5188,528,3
"4472197",2,17786,58710,684,3
"4473096",3,66492,117477,28,2
"4476103",1,30586,61170,1019,4
"4476314",81,424644,992595,44,2
"4476664",7,56874,183294,592,3
"4477123",22,301551,916003,300,1
"4479119",2,50799,149169,697,3
"4480007",4,55292,55297,271,1
"4482199",6,70967,120626,857,4
"4485904",2,9448,10504,571,3
"4486767",4,34965,58823,808,4
"4490076",2,7896,42000,740,3
"4490817",2,98332,213080,440,1
"4491197",5,49235,122423,448,1
"4491268",1,5454,11480,258,1
"4492315",4,42358,96663,227,1
"4494637",2,28254,55312,804,4
"4496861",35,582660,1590105,146,2
"4497063",1,25234,110614,945,4
"4498214",1,43958,149596,796,4
"4498538",56,737876,3092544,53,2
"4499575",1,198456,758288,84,2
"4501408",20,407564,1079176,587,3
"4501830",17,200995,414474,573,3
"4502615",4,73700,229711,52,2
"4505232",10,133119,240057,735,3
"4508751",1,13810,53780,677,3
"4509171",13,172968,366353,154,2
"4509180",229,2784081,10359340,24,2
"4510290",5,91520,202674,38,2
"4510705",3,58819,58823,383,1
"4511171",3,15596,49269,130,2
