"","BUS","CAMION","CHASIS CABINADO","MINIBUS","REMOLQUE","SEMIREMOLQUE","TAXIBUS","TRACTOCAMION","cluster"
"6682763",0.9,0.07,0,0.03,0,0,0,0,3
"4684951",0,0,0,0,0,0.83,0,0.17,2
"96866460",0,0,0,0,0,0.61,0,0.39,2
"96594770",0,0,0,0,0,0.54,0,0.46,2
"96929830",0,0.96,0,0,0.04,0,0,0,1
"77824870",1,0,0,0,0,0,0,0,3
"96791730",0.04,0.82,0.04,0.04,0,0.04,0,0.04,1
"91426000",0.04,0.5,0.07,0,0.14,0.07,0,0.18,1
"77781210",0,0.39,0.07,0.11,0,0.29,0,0.14,2
"79724730",0.14,0.61,0.04,0.14,0,0.04,0,0.04,1
"86601000",0,0.14,0.04,0,0,0.54,0,0.29,2
"77334830",0,0.61,0,0,0,0.25,0,0.14,1
"79532470",0,0.46,0.43,0.11,0,0,0,0,5
"79894670",0,0.89,0.07,0,0,0.04,0,0,1
"79578880",0.64,0.11,0,0.25,0,0,0,0,3
"76704040",0,0.29,0.04,0,0.29,0.29,0,0.11,4
"76740400",0,0.64,0.04,0,0,0.18,0,0.14,1
"76456234",0,0.29,0.04,0,0.04,0.39,0,0.25,2
"76066694",0,0.18,0,0,0,0.57,0,0.25,2
"76241619",0.07,0.29,0.04,0,0,0.39,0,0.21,2
"76350127",0.04,0.75,0.04,0,0,0.07,0,0.11,1
"76334500",0,0.29,0,0,0,0.32,0,0.39,2
"12817791",0,0.14,0,0,0.07,0.36,0,0.43,2
"8808597",0,0.25,0.07,0,0.04,0.36,0,0.29,2
"7299384",0,0.54,0.04,0,0,0.18,0,0.25,1
"78960830",0,0.56,0.04,0,0,0.26,0,0.15,1
"96870780",0.07,0.59,0,0.04,0,0.19,0,0.11,1
"96849490",0,0.04,0,0,0,0.67,0,0.3,2
"77401920",0,0.41,0,0,0.04,0.33,0,0.22,2
"77137270",0.04,0.63,0.07,0,0.07,0.11,0,0.07,1
"79554850",0,0.07,0,0,0,0.52,0,0.41,2
"77118090",0.81,0.07,0,0.11,0,0,0,0,3
"87580800",0.07,0.93,0,0,0,0,0,0,1
"78530670",0,0.11,0,0,0,0.52,0,0.37,2
"78389930",0,0.78,0.15,0,0.04,0,0,0.04,1
"96924960",0.07,0.63,0.3,0,0,0,0,0,5
"78572860",0,0.26,0,0,0,0.44,0,0.3,2
"78520350",1,0,0,0,0,0,0,0,3
"78950240",0,0.67,0.11,0.04,0.04,0.07,0,0.07,1
"76877220",0.11,0.48,0,0.22,0,0.11,0,0.07,1
"76771530",0,0.44,0.04,0.07,0,0.19,0,0.26,2
"76695039",0,0,0,0,0,0.59,0,0.41,2
"76681840",0.04,0.52,0.04,0.15,0.04,0.11,0,0.11,1
"76058120",0,0,0,0,0.07,0.63,0,0.3,2
"76101016",0.89,0,0,0.11,0,0,0,0,3
"76041303",0,0.26,0,0,0,0.48,0,0.26,2
"76103845",0,0.07,0,0,0.15,0.52,0,0.26,2
"76050205",0,0.19,0.04,0.07,0.37,0.26,0,0.07,4
"16069627",0.93,0,0,0.07,0,0,0,0,3
"14286841",0,0.41,0,0,0.41,0.15,0,0.04,4
"10065944",0,0.33,0.15,0,0.44,0.04,0,0.04,4
"10625825",0,0.22,0,0.04,0.07,0.3,0,0.37,2
"11761586",0.93,0,0,0.07,0,0,0,0,3
"7707625",0,0,0,0,0.07,0.52,0,0.41,2
"9488907",0.22,0.07,0.04,0.63,0,0.04,0,0,7
"7253395",0,0,0,0.04,0,0.48,0,0.48,2
"6733014",0,0.11,0,0,0.07,0.41,0,0.41,2
"99557440",0.65,0.23,0.12,0,0,0,0,0,3
"78716330",0,0.96,0.04,0,0,0,0,0,1
"77390680",0.04,0.46,0,0.42,0,0,0,0.08,1
"78058280",0,0.04,0,0,0.04,0.58,0,0.35,2
"79552080",0,0.08,0.08,0,0.31,0.31,0,0.23,2
"76951770",0.04,0.46,0.12,0.08,0,0.31,0,0,1
"77887180",0,0,0,0,0,0.65,0,0.35,2
"77784000",0,1,0,0,0,0,0,0,1
"77755210",0,0.04,0.04,0,0,0.62,0,0.31,2
"77702160",0.38,0,0,0.62,0,0,0,0,7
"99502660",0,0,0,0,0,0.58,0,0.42,2
"78269080",0,0.65,0,0,0,0.19,0,0.15,1
"76562260",0,0.12,0.12,0.04,0.04,0.42,0,0.27,2
"76085791",0,0.15,0.58,0,0.08,0.12,0,0.08,5
"76283960",0,0.38,0.08,0,0.04,0.35,0,0.15,2
"76084483",0.04,0.35,0.08,0,0.42,0.08,0,0.04,4
"76207524",0,0.58,0.04,0,0.04,0.15,0,0.19,1
"76301009",0,0.58,0.12,0,0,0.23,0,0.08,1
"76071838",0,0.62,0.04,0.04,0,0.15,0,0.15,1
"76072706",1,0,0,0,0,0,0,0,3
"76055200",0.04,0.08,0.15,0.04,0.19,0.23,0,0.27,2
